id,ref_chars,ref_words,raw_char_edits,raw_word_edits,raw_CER,raw_WER,corrected_char_edits,corrected_word_edits,corrected_CER,corrected_WER
1,42,8,17,7,40.476190476190474,87.5,17,7,40.476190476190474,87.5
2,90,15,14,7,15.555555555555555,46.666666666666664,16,7,17.77777777777778,46.666666666666664
4,143,25,49,17,34.26573426573427,68,49,17,34.26573426573427,68
5,139,24,29,15,20.863309352517987,62.5,29,14,20.863309352517987,58.333333333333336
6,175,32,50,20,28.571428571428573,62.5,49,18,28,56.25
7,143,24,42,15,29.37062937062937,62.5,41,14,28.67132867132867,58.333333333333336
8,119,21,20,11,16.80672268907563,52.38095238095238,23,13,19.327731092436974,61.904761904761905
9,181,33,68,21,37.569060773480665,63.63636363636363,68,21,37.569060773480665,63.63636363636363
10,114,20,18,10,15.789473684210526,50,15,7,13.157894736842104,35
11,193,34,71,23,36.78756476683938,67.6470588235294,72,23,37.30569948186528,67.6470588235294
